===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=10 processos.
           Tempo Total de Simulação = 400
===============================================================
[10.0, Proc. 0, Rodada 0, Sorteio:  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[11.0, Proc. 1, Rodada 0, Sorteio: -1  0 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[12.0, Proc. 2, Rodada 0, Sorteio: -1 -1  1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[13.0, Proc. 3, Rodada 0, Sorteio: -1 -1 -1  0 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[14.0, Proc. 4, Rodada 0, Sorteio: -1 -1 -1 -1  1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[15.0, Proc. 5, Rodada 0, Sorteio: -1 -1 -1 -1 -1  0 -1 -1 -1 -1  ]: Inicio da eleição
[16.0, Proc. 6, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1  0 -1 -1 -1  ]: Inicio da eleição
[17.0, Proc. 7, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1  0 -1 -1  ]: Inicio da eleição
[18.0, Proc. 8, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1  1 -1  ]: Inicio da eleição
[19.0, Proc. 9, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Inicio da eleição
[30.0, Proc. 0, Rodada 0, Sorteio:  1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 9
[31.0, Proc. 1, Rodada 0, Sorteio: -1  0 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 0
[32.0, Proc. 2, Rodada 0, Sorteio: -1 -1  1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 1
[33.0, Proc. 3, Rodada 0, Sorteio: -1 -1 -1  0 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 2
[34.0, Proc. 4, Rodada 0, Sorteio: -1 -1 -1 -1  1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 3
[35.0, Proc. 5, Rodada 0, Sorteio: -1 -1 -1 -1 -1  0 -1 -1 -1 -1  ]: Recebido mensagem de 4
[36.0, Proc. 6, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1  0 -1 -1 -1  ]: Recebido mensagem de 5
[37.0, Proc. 7, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1  0 -1 -1  ]: Recebido mensagem de 6
[38.0, Proc. 8, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1  1 -1  ]: Recebido mensagem de 7
[38.0, Proc. 8, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  ]: tenho todos os sorteados, mas ninguem foi eleito
[38.0, Proc. 8, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Nova rodada 0 -> 1
[39.0, Proc. 9, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Processo 9 e recebeu mensagem de 8 com nova rodada e nao sou candidato
