===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=20 processos.
           Tempo Total de Simulação = 1200
===============================================================
[10.0, Proc. 0, Rodada 0, Sorteio:  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[11.0, Proc. 1, Rodada 0, Sorteio: -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[12.0, Proc. 2, Rodada 0, Sorteio: -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[13.0, Proc. 3, Rodada 0, Sorteio: -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[14.0, Proc. 4, Rodada 0, Sorteio: -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[15.0, Proc. 5, Rodada 0, Sorteio: -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[16.0, Proc. 6, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[17.0, Proc. 7, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[18.0, Proc. 8, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[19.0, Proc. 9, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[20.0, Proc.10, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[21.0, Proc.11, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[22.0, Proc.12, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[23.0, Proc.13, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  ]: Inicio da eleição
[24.0, Proc.14, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1  ]: Inicio da eleição
[25.0, Proc.15, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1  ]: Inicio da eleição
[26.0, Proc.16, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  ]: Inicio da eleição
[27.0, Proc.17, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1  ]: Inicio da eleição
[28.0, Proc.18, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1  ]: Inicio da eleição
[29.0, Proc.19, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Inicio da eleição
[30.0, Proc. 0, Rodada 0, Sorteio:  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 19
[31.0, Proc. 1, Rodada 0, Sorteio: -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 0
[32.0, Proc. 2, Rodada 0, Sorteio: -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 1
[33.0, Proc. 3, Rodada 0, Sorteio: -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 2
[34.0, Proc. 4, Rodada 0, Sorteio: -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 3
[35.0, Proc. 5, Rodada 0, Sorteio: -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 4
[36.0, Proc. 6, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 5
[37.0, Proc. 7, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 6
[38.0, Proc. 8, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 7
[39.0, Proc. 9, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 8
[40.0, Proc.10, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 9
[40.0, Proc. 1, Rodada 0, Sorteio:  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 0
[41.0, Proc.11, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 10
[41.0, Proc. 2, Rodada 0, Sorteio:  1  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 1
[42.0, Proc.12, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 11
[42.0, Proc. 3, Rodada 0, Sorteio:  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 2
[43.0, Proc.13, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1  ]: Recebido mensagem de 12
[43.0, Proc. 4, Rodada 0, Sorteio:  1  0  1  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 3
[44.0, Proc.14, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1  ]: Recebido mensagem de 13
[44.0, Proc. 5, Rodada 0, Sorteio:  1  0  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 4
[45.0, Proc.15, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1  ]: Recebido mensagem de 14
[45.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 5
[46.0, Proc.16, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  ]: Recebido mensagem de 15
[46.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 6
[47.0, Proc.17, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1  ]: Recebido mensagem de 16
[47.0, Proc. 8, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 7
[48.0, Proc.18, Rodada 0, Sorteio: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1  ]: Recebido mensagem de 17
[48.0, Proc.18, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  1  0  0  ]: tenho todos os sorteados, mas ninguem foi eleito
[48.0, Proc.18, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Nova rodada 0 -> 1
[48.0, Proc. 9, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 8
[49.0, Proc.19, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Processo 19 e recebeu mensagem de 18 com nova rodada e nao sou candidato
[49.0, Proc.10, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 9
[50.0, Proc.11, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 10
[50.0, Proc. 2, Rodada 0, Sorteio:  1  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 1
[51.0, Proc.12, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 11
[51.0, Proc. 3, Rodada 0, Sorteio:  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 2
[52.0, Proc.13, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 12
[52.0, Proc. 4, Rodada 0, Sorteio:  1  0  1  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 3
[53.0, Proc.14, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0 -1 -1 -1 -1  0  ]: Recebido mensagem de 13
[53.0, Proc. 5, Rodada 0, Sorteio:  1  0  1  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 4
[54.0, Proc.15, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -1 -1 -1  0  ]: Recebido mensagem de 14
[54.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 5
[55.0, Proc.16, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1 -1 -1  0  ]: Recebido mensagem de 15
